time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
1990-05-21,30.8,,35.8,0.0,,,,,,
1990-05-22,31.0,25.2,38.0,0.0,,,,,,
1990-05-23,31.2,,,,,,,,,
1990-05-24,31.7,,35.1,4.8,,,,,,
1990-05-25,,,,,,,,,,
1990-05-26,,,,,,,,,,
1990-05-27,,,,,,,,,,
1990-05-28,,,,,,,,,,
1990-05-29,,,,,,,,,,
1990-05-30,,,,,,,,,,
1990-05-31,31.1,28.0,36.9,0.0,,,,,,
1990-06-01,31.9,27.8,37.6,,,,,,,
1990-06-02,30.3,,38.9,,,,,,,
1990-06-03,30.2,21.3,33.2,41.1,,,,,,
1990-06-04,32.0,26.4,36.4,0.0,,,,,,
1990-06-05,30.8,,35.4,0.0,,,,,,
1990-06-06,28.7,,35.3,,,,,,,
1990-06-07,30.5,25.0,35.6,,,,,,,
1990-06-08,30.9,26.8,36.2,0.0,,,,,,
1990-06-09,30.8,26.5,35.2,0.0,,,,,,
1990-06-10,30.6,27.0,35.4,0.0,,,,,,
1990-06-11,30.3,,,,,,,,,
1990-06-12,27.6,,37.1,,,,,,,
1990-06-13,27.3,,29.4,,,,,,,
1990-06-14,26.7,24.0,28.9,9.9,,,,,,
1990-06-15,29.3,,33.6,0.0,,,,,,
1990-06-16,29.0,24.4,34.6,40.4,,,,,,
1990-06-17,29.8,26.4,32.2,2.8,,,,,,
1990-06-18,28.9,25.6,32.8,0.0,,,,,,
1990-06-19,28.3,26.2,33.6,0.5,,,,,,
1990-06-20,28.8,27.0,33.4,14.2,,,,,,
1990-06-21,30.2,26.2,34.4,10.4,,,,,,
1990-06-22,29.5,,33.9,0.0,,,,,,
1990-06-23,29.0,25.8,34.1,3.6,,,,,,
1990-06-24,27.7,,31.2,0.0,,,,,,
1990-06-25,26.3,23.9,28.4,13.2,,,,,,
1990-06-26,28.5,,32.8,0.5,,,,,,
1990-06-27,27.3,22.5,31.9,28.7,,,,,,
1990-06-28,28.5,24.5,32.3,5.6,,,,,,
1990-06-29,28.3,23.9,33.6,17.5,,,,,,
1990-06-30,28.8,24.4,33.9,6.1,,,,,,
1990-07-01,27.7,26.0,31.3,1.8,,,,,,
1990-07-02,27.7,24.4,29.5,15.5,,,,,,
1990-07-03,27.9,,30.2,4.1,,,,,,
1990-07-04,28.1,25.0,32.0,0.0,,,,,,
1990-07-05,28.7,26.0,30.3,0.0,,,,,,
1990-07-06,26.8,,30.4,0.5,,,,,,
1990-07-07,26.3,23.5,30.4,21.8,,,,,,
1990-07-08,25.1,23.4,33.8,18.0,,,,,,
1990-07-09,27.8,22.6,31.4,35.1,,,,,,
1990-07-10,25.6,23.5,,5.8,,,,,,
1990-07-11,26.5,24.0,31.5,9.7,,,,,,
1990-07-12,26.6,23.4,30.4,76.2,,,,,,
1990-07-13,26.0,23.8,29.1,1.8,,,,,,
1990-07-14,27.7,23.8,29.7,23.6,,,,,,
1990-07-15,27.5,25.5,,0.0,,,,,,
1990-07-16,28.8,24.8,,,,,,,,
1990-07-17,,,,,,,,,,
1990-07-18,,,,,,,,,,
1990-07-19,27.1,25.0,31.0,24.1,,,,,,
1990-07-20,26.2,24.2,32.0,22.1,,,,,,
1990-07-21,28.1,24.0,32.0,0.5,,,,,,
1990-07-22,26.9,25.0,31.6,0.0,,,,,,
1990-07-23,27.3,24.0,29.8,43.2,,,,,,
1990-07-24,29.5,25.6,33.0,1.5,,,,,,
1990-07-25,28.9,25.5,,0.0,,,,,,
1990-07-26,30.1,25.6,,4.3,,,,,,
1990-07-27,29.7,25.8,36.3,0.0,,,,,,
1990-07-28,28.2,,33.7,0.0,,,,,,
1990-07-29,28.3,24.2,33.0,35.3,,,,,,
1990-07-30,30.0,,33.5,0.0,,,,,,
1990-07-31,29.3,26.5,34.4,,,,,,,
1990-08-01,29.8,25.6,33.9,0.0,,,,,,
1990-08-02,27.3,24.0,33.2,13.0,,,,,,
1990-08-03,28.9,23.5,32.8,2.0,,,,,,
1990-08-04,29.5,26.3,34.2,0.0,,,,,,
1990-08-05,30.0,26.0,34.4,5.3,,,,,,
1990-08-06,30.2,26.6,33.7,0.0,,,,,,
1990-08-07,28.6,24.6,,,,,,,,
1990-08-08,28.2,23.6,32.6,,,,,,,
1990-08-09,27.2,25.0,32.0,,,,,,,
1990-08-10,29.4,25.2,32.3,,,,,,,
1990-08-11,29.3,25.6,33.6,0.0,,,,,,
1990-08-12,28.9,26.2,,0.0,,,,,,
1990-08-13,29.2,,34.0,,,,,,,
1990-08-14,27.6,24.2,32.0,19.1,,,,,,
1990-08-15,27.6,25.5,29.9,18.8,,,,,,
1990-08-16,27.4,25.0,30.4,19.1,,,,,,
1990-08-17,27.2,,29.4,8.6,,,,,,
1990-08-18,27.1,24.2,32.4,24.9,,,,,,
1990-08-19,28.3,24.4,33.3,8.4,,,,,,
1990-08-20,27.3,24.8,31.8,6.1,,,,,,
1990-08-21,25.9,24.2,26.9,80.5,,,,,,
1990-08-22,28.3,,31.5,3.0,,,,,,
1990-08-23,28.7,26.2,32.2,3.8,,,,,,
1990-08-24,29.8,26.2,34.5,0.0,,,,,,
1990-08-25,29.7,25.8,34.8,0.0,,,,,,
1990-08-26,28.8,,33.0,3.6,,,,,,
1990-08-27,26.7,23.2,,47.0,,,,,,
1990-08-28,28.1,24.0,31.6,49.0,,,,,,
1990-08-29,27.9,25.4,30.4,4.6,,,,,,
1990-08-30,28.5,25.4,33.6,3.0,,,,,,
1990-08-31,29.1,26.0,32.1,1.3,,,,,,
1990-09-01,29.8,25.2,33.1,0.0,,,,,,
1990-09-02,28.2,25.6,30.4,,,,,,,
1990-09-03,26.9,23.8,29.9,0.3,,,,,,
1990-09-04,27.1,,32.0,0.0,,,,,,
1990-09-05,27.8,23.0,,3.8,,,,,,
1990-09-06,26.6,25.0,29.4,1.0,,,,,,
1990-09-07,27.2,24.2,31.6,7.4,,,,,,
1990-09-08,28.3,24.5,32.4,0.0,,,,,,
1990-09-09,30.9,25.5,34.6,0.0,,,,,,
1990-09-10,28.5,,34.6,,,,,,,
1990-09-11,27.7,24.5,32.6,7.1,,,,,,
1990-09-12,26.1,23.3,27.9,12.4,,,,,,
1990-09-13,26.7,23.5,28.6,16.0,,,,,,
1990-09-14,28.0,24.1,31.7,8.4,,,,,,
1990-09-15,29.4,25.0,33.3,5.6,,,,,,
1990-09-16,29.8,25.5,33.9,0.0,,,,,,
1990-09-17,29.8,24.6,35.0,0.0,,,,,,
1990-09-18,28.7,25.5,33.6,0.0,,,,,,
1990-09-19,30.1,25.3,34.4,,,,,,,
1990-09-20,28.3,,31.7,4.6,,,,,,
1990-09-21,26.3,24.7,32.1,0.5,,,,,,
1990-09-22,26.3,23.2,32.7,75.7,,,,,,
1990-09-23,26.9,23.4,,14.5,,,,,,
1990-09-24,27.4,23.2,,22.9,,,,,,
1990-09-25,28.5,24.5,32.5,13.0,,,,,,
1990-09-26,28.6,24.6,32.5,0.0,,,,,,
1990-09-27,28.8,,32.9,0.0,,,,,,
1990-09-28,28.4,25.6,,0.0,,,,,,
1990-09-29,28.0,24.5,33.5,0.0,,,,,,
1990-09-30,28.2,24.5,32.4,,,,,,,
1990-10-01,26.1,24.5,30.7,2.8,,,,,,
1990-10-02,26.9,24.0,31.1,3.6,,,,,,
1990-10-03,26.4,24.0,30.0,3.3,,,,,,
1990-10-04,27.0,24.5,32.0,0.0,,,,,,
1990-10-05,26.8,24.0,,23.1,,,,,,
1990-10-06,28.1,24.7,32.5,0.0,,,,,,
1990-10-07,26.1,24.5,27.4,86.1,,,,,,
1990-10-08,27.5,23.6,30.5,20.3,,,,,,
1990-10-09,27.9,24.8,32.4,1.8,,,,,,
1990-10-10,26.5,23.4,31.3,0.0,,,,,,
1990-10-11,26.6,,29.5,0.5,,,,,,
1990-10-12,26.8,23.5,31.7,1.8,,,,,,
1990-10-13,26.4,23.2,31.0,0.8,,,,,,
1990-10-14,26.3,22.0,31.1,6.1,,,,,,
1990-10-15,27.7,22.1,32.3,0.0,,,,,,
1990-10-16,27.7,23.0,31.4,0.0,,,,,,
1990-10-17,26.6,,31.4,0.0,,,,,,
1990-10-18,25.3,18.5,31.4,0.0,,,,,,
1990-10-19,24.8,,31.4,0.0,,,,,,
1990-10-20,26.9,19.5,32.0,0.0,,,,,,
1990-10-21,26.1,,31.1,0.0,,,,,,
1990-10-22,26.7,20.0,31.9,0.0,,,,,,
1990-10-23,26.1,22.5,31.0,0.5,,,,,,
1990-10-24,24.3,21.5,,0.0,,,,,,
1990-10-25,25.0,20.4,29.5,0.0,,,,,,
1990-10-26,25.3,,32.0,0.0,,,,,,
1990-10-27,25.7,19.5,31.8,0.0,,,,,,
1990-10-28,25.7,,32.2,0.0,,,,,,
1990-10-29,24.4,20.7,31.6,0.0,,,,,,
1990-10-30,26.0,19.2,32.3,0.0,,,,,,
1990-10-31,26.1,20.5,31.9,0.0,,,,,,
1990-11-01,25.6,20.5,30.7,0.0,,,,,,
1990-11-02,23.9,21.0,26.2,,,,,,,
1990-11-03,23.3,20.2,,137.2,,,,,,
1990-11-04,24.2,,25.9,97.0,,,,,,
1990-11-05,25.8,23.2,30.5,25.7,,,,,,
1990-11-06,27.8,,31.8,0.0,,,,,,
1990-11-07,25.9,23.9,,11.7,,,,,,
1990-11-08,25.2,,30.5,10.4,,,,,,
1990-11-09,23.7,17.6,30.0,0.0,,,,,,
1990-11-10,23.7,17.1,,0.0,,,,,,
1990-11-11,25.1,17.5,29.7,0.0,,,,,,
1990-11-12,24.9,21.3,29.5,,,,,,,
1990-11-13,27.4,22.5,31.3,0.0,,,,,,
1990-11-14,28.2,23.0,31.5,,,,,,,
1990-11-15,24.7,21.0,32.2,,,,,,,
1990-11-16,25.4,18.5,32.0,0.0,,,,,,
1990-11-17,27.8,20.5,33.7,0.0,,,,,,
1990-11-18,24.8,,,0.0,,,,,,
1990-11-19,25.4,18.2,30.1,,,,,,,
1990-11-20,22.9,16.6,29.6,0.0,,,,,,
1990-11-21,25.8,17.8,31.2,,,,,,,
1990-11-22,,,,,,,,,,
1990-11-23,,,,,,,,,,
1990-11-24,27.2,19.4,31.4,0.0,,,,,,
1990-11-25,24.5,19.8,30.7,0.0,,,,,,
1990-11-26,25.6,18.7,30.8,,,,,,,
1990-11-27,22.2,16.1,,0.0,,,,,,
1990-11-28,22.6,16.0,29.9,0.0,,,,,,
1990-11-29,23.4,17.2,,0.0,,,,,,
1990-11-30,23.1,17.0,,0.0,,,,,,
1990-12-01,23.8,17.2,31.1,0.0,,,,,,
1990-12-02,25.7,18.1,30.6,,,,,,,
1990-12-03,25.2,17.5,30.4,,,,,,,
1990-12-04,25.7,18.5,30.1,,,,,,,
1990-12-05,22.4,18.0,30.2,0.0,,,,,,
1990-12-06,23.7,,29.5,0.0,,,,,,
1990-12-07,23.0,16.0,29.4,0.0,,,,,,
1990-12-08,20.9,15.2,28.9,0.0,,,,,,
1990-12-09,21.8,14.5,29.0,0.0,,,,,,
1990-12-10,22.1,15.8,29.1,0.0,,,,,,
1990-12-11,22.3,16.8,29.5,0.0,,,,,,
1990-12-12,23.2,15.7,29.3,0.0,,,,,,
1990-12-13,20.8,15.0,28.0,0.0,,,,,,
1990-12-14,20.1,13.1,26.5,0.0,,,,,,
1990-12-15,18.1,13.0,26.8,0.0,,,,,,
1990-12-16,20.9,12.4,27.9,361.9,,,,,,
1990-12-17,21.9,17.9,25.6,2.8,,,,,,
1990-12-18,20.8,,26.7,0.0,,,,,,
1990-12-19,21.9,15.2,28.7,0.0,,,,,,
1990-12-20,21.9,15.6,29.4,0.0,,,,,,
1990-12-21,21.5,15.0,28.7,0.0,,,,,,
1990-12-22,20.7,12.5,28.0,0.0,,,,,,
1990-12-23,20.1,13.0,,0.0,,,,,,
1990-12-24,18.9,12.0,26.8,0.0,,,,,,
1990-12-25,18.9,10.9,27.9,0.0,,,,,,
1990-12-26,19.9,11.5,,,,,,,,
1990-12-27,,,,,,,,,,
1990-12-28,19.2,11.0,,0.0,,,,,,
1990-12-29,21.5,11.5,,,,,,,,
1990-12-30,20.1,12.0,29.5,0.0,,,,,,
1990-12-31,22.6,15.0,30.5,0.0,,,,,,
1991-01-01,24.3,,30.4,,,,,,,
1991-01-02,23.0,18.3,27.4,44.5,,,,,,
1991-01-03,19.9,,24.7,4.1,,,,,,
1991-01-04,18.1,11.5,23.1,0.0,,,,,,
1991-01-05,16.7,10.5,24.5,0.0,,,,,,
1991-01-06,17.9,11.0,25.3,0.0,,,,,,
1991-01-07,21.1,,26.9,,,,,,,
1991-01-08,21.7,13.4,28.7,0.0,,,,,,
1991-01-09,23.3,15.1,29.4,0.0,,,,,,
1991-01-10,19.2,,29.5,0.0,,,,,,
1991-01-11,22.3,17.6,28.9,0.0,,,,,,
1991-01-12,23.3,17.2,29.4,0.0,,,,,,
1991-01-13,20.5,19.0,23.4,470.9,,,,,,
1991-01-14,17.9,,19.9,0.0,,,,,,
1991-01-15,18.7,15.4,,4.6,,,,,,
1991-01-16,18.3,14.1,22.5,0.0,,,,,,
1991-01-17,20.2,13.2,26.7,0.0,,,,,,
1991-01-18,20.5,16.0,26.8,0.0,,,,,,
1991-01-19,17.9,16.1,23.0,,,,,,,
1991-01-20,20.6,15.6,26.6,1.3,,,,,,
1991-01-21,20.9,15.1,27.9,0.0,,,,,,
1991-01-22,22.0,14.6,30.1,0.0,,,,,,
1991-01-23,22.9,16.8,,,,,,,,
1991-01-24,22.7,16.8,29.6,0.0,,,,,,
1991-01-25,22.3,,29.4,0.0,,,,,,
1991-01-26,22.4,,30.2,0.0,,,,,,
1991-01-27,23.3,15.8,30.7,0.0,,,,,,
1991-01-28,23.1,16.6,29.7,0.0,,,,,,
1991-01-29,23.8,17.0,31.4,0.0,,,,,,
1991-01-30,23.2,16.6,,0.0,,,,,,
1991-01-31,22.9,16.5,31.9,0.0,,,,,,
1991-02-01,24.2,,32.0,0.0,,,,,,
1991-02-02,24.9,18.5,31.4,0.0,,,,,,
1991-02-03,25.7,21.1,31.9,0.0,,,,,,
1991-02-04,24.2,,31.4,0.0,,,,,,
1991-02-05,22.9,17.6,30.8,0.0,,,,,,
1991-02-06,23.2,17.0,31.3,0.0,,,,,,
1991-02-07,25.1,16.0,33.5,0.0,,,,,,
1991-02-08,26.1,17.0,34.5,0.0,,,,,,
1991-02-09,24.4,17.8,33.5,0.0,,,,,,
1991-02-10,26.6,17.6,34.4,0.0,,,,,,
1991-02-11,26.7,17.5,36.5,0.0,,,,,,
1991-02-12,27.8,18.8,36.4,0.0,,,,,,
1991-02-13,28.6,20.6,37.0,0.0,,,,,,
1991-02-14,26.7,19.9,34.4,0.0,,,,,,
1991-02-15,26.4,20.5,33.4,0.0,,,,,,
1991-02-16,25.6,20.0,32.9,0.0,,,,,,
1991-02-17,28.3,21.5,34.1,0.0,,,,,,
1991-02-18,26.2,21.5,34.0,,,,,,,
1991-02-19,26.4,19.4,34.0,0.3,,,,,,
1991-02-20,27.8,20.0,34.0,0.0,,,,,,
1991-02-21,27.7,19.0,36.0,0.0,,,,,,
1991-02-22,30.1,18.7,,0.0,,,,,,
1991-02-23,26.5,20.0,37.5,0.0,,,,,,
1991-02-24,27.6,20.6,36.9,0.0,,,,,,
1991-02-25,27.7,19.9,37.6,0.0,,,,,,
1991-02-26,27.5,19.4,37.0,,,,,,,
1991-02-27,24.7,20.0,32.6,0.0,,,,,,
1991-02-28,26.8,19.8,34.0,0.0,,,,,,
1991-03-01,25.3,19.8,34.0,0.0,,,,,,
1991-03-02,25.6,20.1,34.2,,,,,,,
1991-03-03,27.2,,35.9,0.0,,,,,,
1991-03-04,26.7,22.0,35.5,,,,,,,
1991-03-05,26.9,21.6,34.4,,,,,,,
1991-03-06,27.1,21.4,,0.3,,,,,,
1991-03-07,27.1,22.5,33.0,0.0,,,,,,
1991-03-08,27.7,22.8,34.2,0.0,,,,,,
1991-03-09,27.8,22.6,34.6,0.0,,,,,,
1991-03-10,29.2,,36.0,,,,,,,
1991-03-11,28.1,20.0,35.0,25.4,,,,,,
1991-03-12,29.0,,36.4,0.0,,,,,,
1991-03-13,28.6,22.0,34.9,4.8,,,,,,
1991-03-14,27.7,21.6,35.0,0.3,,,,,,
1991-03-15,28.5,23.0,,0.0,,,,,,
1991-03-16,29.2,22.3,35.1,0.0,,,,,,
1991-03-17,28.5,22.5,,,,,,,,
1991-03-18,29.4,22.2,38.0,0.0,,,,,,
1991-03-19,30.4,24.0,36.8,0.0,,,,,,
1991-03-20,30.3,25.0,39.5,0.0,,,,,,
1991-03-21,29.6,24.0,37.7,0.0,,,,,,
1991-03-22,29.8,24.0,37.3,0.0,,,,,,
1991-03-23,28.0,23.5,34.6,0.0,,,,,,
1991-03-24,28.8,,,,,,,,,
1991-03-25,28.4,22.8,34.0,0.0,,,,,,
1991-03-26,28.2,23.5,34.5,0.0,,,,,,
1991-03-27,29.3,23.5,36.9,0.0,,,,,,
1991-03-28,29.3,23.8,37.0,0.0,,,,,,
1991-03-29,31.1,24.3,38.5,0.0,,,,,,
1991-03-30,32.9,23.2,42.0,0.0,,,,,,
1991-03-31,31.9,23.5,41.6,,,,,,,
1991-04-01,30.2,25.8,37.3,0.3,,,,,,
1991-04-02,30.4,25.7,36.6,0.0,,,,,,
1991-04-03,29.5,,36.3,0.0,,,,,,
1991-04-04,29.3,24.5,36.6,0.0,,,,,,
1991-04-05,29.8,24.6,,1.5,,,,,,
1991-04-06,29.0,,37.0,0.0,,,,,,
1991-04-07,31.4,24.0,37.9,0.0,,,,,,
1991-04-08,29.7,24.6,39.8,,,,,,,
1991-04-09,30.6,,40.0,,,,,,,
1991-04-10,30.5,25.0,39.8,5.3,,,,,,
1991-04-11,28.6,,36.0,5.1,,,,,,
1991-04-12,28.3,21.5,,0.0,,,,,,
1991-04-13,30.5,24.5,37.0,0.0,,,,,,
1991-04-14,30.5,25.0,37.1,0.0,,,,,,
1991-04-15,30.8,26.0,41.5,0.0,,,,,,
1991-04-16,32.2,27.0,40.3,0.0,,,,,,
1991-04-17,31.2,27.0,,,,,,,,
1991-04-18,33.1,27.0,39.2,0.0,,,,,,
1991-04-19,30.9,26.1,38.2,,,,,,,
1991-04-20,30.6,25.2,38.3,0.0,,,,,,
1991-04-21,31.9,25.5,39.9,0.0,,,,,,
1991-04-22,31.6,26.6,38.7,0.0,,,,,,
1991-04-23,,,,,,,,,,
1991-04-24,32.6,,39.3,,,,,,,
1991-04-25,30.3,23.0,36.5,0.0,,,,,,
1991-04-26,30.1,25.0,37.5,0.0,,,,,,
1991-04-27,31.2,25.6,37.3,0.0,,,,,,
1991-04-28,30.0,,35.6,0.0,,,,,,
1991-04-29,31.3,25.3,38.4,0.0,,,,,,
1991-04-30,34.1,26.9,43.9,0.0,,,,,,
1991-05-01,33.2,,41.8,0.0,,,,,,
1991-05-02,32.1,28.5,38.3,0.0,,,,,,
1991-05-03,31.9,28.4,37.0,0.0,,,,,,
1991-05-04,32.3,28.1,37.8,0.0,,,,,,
1991-05-05,31.9,28.0,38.3,0.0,,,,,,
1991-05-06,32.6,28.0,38.0,,,,,,,
1991-05-07,34.1,27.0,41.5,0.3,,,,,,
1991-05-08,32.8,28.6,38.8,0.0,,,,,,
1991-05-09,32.3,,39.0,0.0,,,,,,
1991-05-10,31.8,28.0,38.3,0.0,,,,,,
1991-05-11,30.3,26.0,,0.0,,,,,,
1991-05-12,31.4,27.1,38.1,0.0,,,,,,
1991-05-13,30.9,27.8,36.8,0.0,,,,,,
1991-05-14,32.1,27.5,,0.0,,,,,,
1991-05-15,,,,,,,,,,
1991-05-16,32.4,,37.0,,,,,,,
1991-05-17,32.2,27.2,,,,,,,,
1991-05-18,31.5,26.3,38.6,0.0,,,,,,
1991-05-19,31.6,27.0,36.5,0.0,,,,,,
1991-05-20,30.2,,37.0,,,,,,,
1991-05-21,30.6,23.0,39.3,1.5,,,,,,
1991-05-22,33.2,27.5,41.5,0.0,,,,,,
1991-05-23,33.6,26.5,40.9,2.3,,,,,,
1991-05-24,29.6,,36.0,0.0,,,,,,
